pre_timestamp,cur_timestamp,speed,direction
2.339682102203369,2.3724522590637207,Fast,Down
2.339682102203369,2.4114151000976562,Fast,Down
2.3724522590637207,2.439157485961914,Fast,Down
2.4114151000976562,2.47853422164917,Fast,Down
2.439157485961914,2.50482439994812,Medium,Stationary
2.47853422164917,2.53989839553833,Medium,Stationary
2.50482439994812,2.572780132293701,Medium,Stationary
2.53989839553833,2.6106817722320557,Fast,Up
2.572780132293701,2.6387176513671875,Fast,Stationary
2.6106817722320557,2.6774916648864746,Fast,Down
2.6387176513671875,2.7066640853881836,Fast,Stationary
2.6774916648864746,2.7318994998931885,Fast,Right
2.7066640853881836,2.774324417114258,Fast,Up
2.7318994998931885,2.813173532485962,Fast,Up
2.774324417114258,2.840465545654297,Fast,Up
2.813173532485962,2.87886118888855,Fast,Up
2.840465545654297,2.907299518585205,Fast,Up
2.87886118888855,2.9407765865325928,Fast,Up
2.907299518585205,2.9739134311676025,Fast,Up
2.9407765865325928,4.2398810386657715,Fast,Left
2.9739134311676025,4.267179727554321,Fast,Left
4.2398810386657715,4.31378960609436,Fast,Left
4.267179727554321,4.34756875038147,Fast,Up
4.31378960609436,4.383202075958252,Fast,Up
4.34756875038147,4.423435926437378,Medium,Up
4.383202075958252,4.454089403152466,Fast,Up
4.423435926437378,4.4947614669799805,Fast,Up
4.454089403152466,4.513374090194702,Medium,Stationary
4.4947614669799805,4.531020164489746,Medium,Stationary
4.513374090194702,4.5658628940582275,Stationary,Stationary
4.531020164489746,4.597900390625,Medium,Stationary
4.5658628940582275,4.63809609413147,Stationary,Stationary
4.597900390625,4.668785333633423,Medium,Stationary
4.63809609413147,4.711384057998657,Stationary,Stationary
4.668785333633423,4.740850448608398,Medium,Stationary
4.711384057998657,4.78134298324585,Medium,Stationary
4.740850448608398,4.811604022979736,Fast,Up
4.78134298324585,4.842950105667114,Fast,Up
4.811604022979736,4.883144855499268,Medium,Stationary
4.842950105667114,4.923872232437134,Fast,Stationary
4.883144855499268,4.950067043304443,Fast,Down
4.923872232437134,4.995813369750977,Fast,Down
4.950067043304443,5.014895439147949,Fast,Right
4.995813369750977,5.032388210296631,Fast,Right
5.014895439147949,5.421314716339111,Fast,Down
5.032388210296631,5.452316999435425,Fast,Down
5.421314716339111,6.515727996826172,Fast,Down
5.452316999435425,6.54345178604126,Fast,Up
6.515727996826172,6.580606937408447,Fast,Up
6.54345178604126,8.48253321647644,Fast,Left
6.580606937408447,8.52085018157959,Fast,Up
8.48253321647644,8.551125049591064,Fast,Down
8.52085018157959,8.588185787200928,Fast,Down
8.551125049591064,8.61742615699768,Medium,Stationary
8.588185787200928,8.65590238571167,Fast,Up
8.61742615699768,8.682084083557129,Fast,Up
8.65590238571167,8.72163438796997,Fast,Up
8.682084083557129,8.750518083572388,Fast,Up
8.72163438796997,8.952410221099854,Fast,Down
8.750518083572388,8.989619970321655,Fast,Down
8.952410221099854,9.019174337387085,Fast,Down
